W(u),W(v),d4,d3,var4,var3,w_centrality,uw_centrality,sign,score
-337.0,-5.0,-0.7048241090867423,0.05,116.0545068651166,82.86186440677966,0.0,0.0010371992497527328,1.0,0.013333333333333334
-337.0,-45.0,-0.47748387478549026,-0.49404761904761907,104.39461371844928,107.71253920729968,0.3684071826928969,0.0007720255100871963,-1.0,-0.07109004739336493
-337.0,107.0,0.18776328986960883,0.16428571428571428,109.28813432406353,111.99439876670093,0.0,0.0010275625085857253,0.0,0.0
-337.0,5.0,-0.24680976617245703,0.0625,105.94955551212651,93.35641891891892,0.0,0.0009005039351451019,1.0,0.007194244604316547
-337.0,-18.0,-1.2596119929453262,-1.7777777777777777,116.05113816979261,99.94771241830065,0.0,0.002100095722544706,-1.0,-0.10638297872340426
-337.0,22.0,-0.19972100921882582,-0.7530120481927711,106.96823671478391,102.45377875136911,0.0,0.0009723620092825253,-1.0,-0.04046242774566474
-337.0,0.0,-1.0342612419700214,-3.9444444444444446,118.69500568395962,94.40849673202615,0.0,0.002093821226474292,1.0,0.037037037037037035
-337.0,-132.0,-0.8100966481595723,-1.7616822429906542,110.34993044153521,145.86312579527007,0.0,0.0007059413187087623,-1.0,-0.014084507042253521
-337.0,7.0,-0.13372093023255813,-2.3333333333333335,115.07036519071572,50.266666666666666,0.006549917264202979,0.004021879021879019,-1.0,-0.05555555555555555
-337.0,-206.0,-1.7956182245470396,-1.8125,110.00189436947527,90.928490990991,0.0,0.0011495751350626808,1.0,0.022222222222222223
-337.0,-60.0,-2.4107827038861522,-4.875,116.94618537132956,70.20108695652173,0.0,0.0018194837072388118,-1.0,-0.01694915254237288
-337.0,-39.0,-0.9653642478889366,-2.108695652173913,113.11446008416678,87.1657004830918,0.0,0.0011261768124181284,-1.0,-0.1388888888888889
-337.0,89.0,0.03053227015606897,0.6583333333333333,104.22534906917735,86.89908963585434,0.0,0.0008552374672271372,1.0,0.06349206349206349
-337.0,45.0,-0.027477477477477478,1.0,120.1267414959636,85.74468085106383,0.0,0.0014536215606792571,1.0,0.15384615384615385
-337.0,74.0,-0.04754853570253373,1.0333333333333334,111.57700674178231,97.8752808988764,0.0,0.0009177144628997153,1.0,0.010101010101010102
-337.0,-38.0,-1.2973102785782902,-0.6818181818181818,115.38268932148601,70.78012684989429,0.0,0.0015315317720948165,-1.0,-0.07936507936507936
