W(u),W(v),d3,var3,w_centrality,uw_centrality,role(u),role(v),lane(u),lane(v),sign,score
172,28,0.6724137931034483,23.0099630115738,0.0,9.256705685277116e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.05263157894736842
172,194,1.1551724137931034,22.53985204629519,0.0,9.257604831045477e-05,TOP,TOP,DUO,SOLO,1,0.40540540540540543
172,180,1.2013888888888888,19.58996322106078,0.0,9.320545034830749e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.4444444444444444
172,-16,0.5384615384615384,18.993252361673413,0.007553471839186124,9.384384384384386e-05,TOP,JUNGLE,DUO,NONE,-1,-0.058823529411764705
172,132,1.0616438356164384,20.6284893847385,0.03846448489305633,9.192866335723479e-05,TOP,BOTTOM,DUO,SOLO,-1,-0.17647058823529413
172,508,2.3904109589041096,42.73365343877983,0.006733774590917448,9.192866335723479e-05,TOP,TOP,DUO,DUO_SUPPORT,-1,-0.14754098360655737
172,88,0.875,30.55574912891986,0.0,9.32860060492807e-05,TOP,TOP,DUO,DUO_SUPPORT,1,0.08333333333333333
172,20,0.678082191780822,53.02316057054088,0.0,9.192866335723479e-05,TOP,MIDDLE,DUO,DUO_SUPPORT,-1,-0.06976744186046512
172,400,1.8972602739726028,38.587346419997175,0.0,9.192866335723479e-05,TOP,JUNGLE,DUO,NONE,1,0.3103448275862069
172,-192,-0.017241379310344827,25.34572246748598,0.0,9.256705685277114e-05,TOP,NONE,DUO,DUO,-1,-0.2413793103448276
172,-96,0.2808219178082192,45.24045567951796,0.0,9.192866335723479e-05,TOP,JUNGLE,DUO,NONE,-1,-0.06976744186046512
172,-184,-0.06164383561643835,27.233300381302076,0.0,9.192866335723479e-05,TOP,NONE,DUO,DUO,1,0.2727272727272727
172,-116,0.17123287671232876,43.10459916207692,0.0,9.192866335723479e-05,TOP,MIDDLE,DUO,SOLO,1,0.058823529411764705
172,-52,0.4315068493150685,57.95749187967801,0.0,9.192866335723479e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.06382978723404255
172,-152,0.045774647887323945,16.298250634549344,0.0,9.460906898829437e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.2
172,20,0.6438356164383562,28.34006496257591,0.0,9.192866335723479e-05,TOP,JUNGLE,DUO,NONE,1,0.14285714285714285
172,172,1.1275862068965516,29.86255816728314,0.0,9.256705685277114e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.36
172,12,0.5821917808219178,24.12724191498376,0.0,9.192866335723479e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.2
172,-112,0.21232876712328766,18.841359506661018,0.0,9.192866335723479e-05,TOP,TOP,DUO,DUO_CARRY,-1,-0.14285714285714285
172,-16,0.5136986301369864,36.52558489855482,0.0,9.192866335723479e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.1111111111111111
172,-156,0.07446808510638298,20.275573559476037,0.0,9.524776076816696e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.16666666666666666
172,-228,-0.25,19.49128919860627,0.0,9.327068763982214e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.375
172,4,0.6438356164383562,23.982676646424704,0.0,9.192866335723479e-05,TOP,BOTTOM,DUO,SOLO,-1,-0.42857142857142855
172,-124,0.17123287671232876,24.204255519465235,0.0,9.192866335723479e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.058823529411764705
172,-56,0.3698630136986301,32.062043967424565,0.0,9.192866335723479e-05,TOP,MIDDLE,DUO,SOLO,1,0.18181818181818182
